"Ligand.Name","Canonical.SMILES","Albumin.source.organism","Albumin.concentration,.μM","Method","Scatchard.equation","Temperature,.K"
"HFPO-TA","C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)O","Homo sapiens",1,"fluorescence quenching",FALSE,304
"HFPO-TA","C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)O","Homo sapiens",1,"fluorescence quenching",FALSE,310
"PFOA","C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",1,"fluorescence quenching",FALSE,298
"PFOA","C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",1,"fluorescence quenching",FALSE,304
"PFOA","C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",1,"fluorescence quenching",FALSE,310
"PFO3DA","C(=O)(C(OC(C(OC(C(OC(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",1,"fluorescence quenching",FALSE,298
"PFO3DA","C(=O)(C(OC(C(OC(C(OC(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",1,"fluorescence quenching",FALSE,304
"PFO3DA","C(=O)(C(OC(C(OC(C(OC(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",1,"fluorescence quenching",FALSE,310
"PFHpA","C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",1,"fluorescence quenching",FALSE,298
"PFHpA","C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",1,"fluorescence quenching",FALSE,304
"PFHpA","C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",1,"fluorescence quenching",FALSE,310
"DFSA","C(=O)(C(C(C(C(C(C(C(=O)O)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",1,"fluorescence quenching",FALSE,298
"DFSA","C(=O)(C(C(C(C(C(C(C(=O)O)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",1,"fluorescence quenching",FALSE,304
"DFSA","C(=O)(C(C(C(C(C(C(C(=O)O)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",1,"fluorescence quenching",FALSE,310
"PFOA","C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Bos taurus",1,"fluorescence quenching",FALSE,300
"PFOA","C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Bos taurus",1,"fluorescence quenching",FALSE,310
"PFOA","C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Bos taurus",1,"fluorescence quenching",FALSE,320
"PFDA","C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Bos taurus",1,"fluorescence quenching",FALSE,300
"PFDA","C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Bos taurus",1,"fluorescence quenching",FALSE,310
"PFDA","C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Bos taurus",1,"fluorescence quenching",FALSE,320
"PFOS","C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F","Homo sapiens",5,"ultrafiltration centrifugation",TRUE,310
"6:2 Cl-PFESA","C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(F)F","Homo sapiens",5,"ultrafiltration centrifugation",TRUE,310
"PFBA","C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O","Homo sapiens",130,"DSF",FALSE,NA
"PFHxA","C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",130,"DSF",FALSE,NA
"PFOA","C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",130,"DSF",FALSE,NA
"PFBS","C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F","Homo sapiens",130,"DSF",FALSE,NA
"PFOS","C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F","Homo sapiens",130,"DSF",FALSE,NA
"HFPO-DA","C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)O","Homo sapiens",130,"DSF",FALSE,NA
"6:2 FTSA","C(CS(=O)(=O)O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F","Homo sapiens",130,"DSF",FALSE,NA
"PFBA","C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O","Bos taurus",180,"DSF",FALSE,NA
"PFHxA","C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Bos taurus",180,"DSF",FALSE,NA
"PFOA","C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Bos taurus",180,"DSF",FALSE,NA
"PFBS","C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F","Bos taurus",180,"DSF",FALSE,NA
"PFOS","C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F","Bos taurus",180,"DSF",FALSE,NA
"HFPO-DA","C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)O","Bos taurus",180,"DSF",FALSE,NA
"6:2 FTSA","C(CS(=O)(=O)O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F","Bos taurus",180,"DSF",FALSE,NA
"PFBA","C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O","Sus scrofa domesticus",110,"DSF",FALSE,NA
"PFHxA","C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Sus scrofa domesticus",110,"DSF",FALSE,NA
"PFOA","C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Sus scrofa domesticus",110,"DSF",FALSE,NA
"PFBS","C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F","Sus scrofa domesticus",110,"DSF",FALSE,NA
"PFOS","C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F","Sus scrofa domesticus",110,"DSF",FALSE,NA
"HFPO-DA","C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)O","Sus scrofa domesticus",110,"DSF",FALSE,NA
"6:2 FTSA","C(CS(=O)(=O)O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F","Sus scrofa domesticus",110,"DSF",FALSE,NA
