Study,DOI,Substance,Abbreviation,CAS,Smiles,Species,Sex,Tissue,Exposure Concentration (ug/L),Exposure (days),Depuration (days),Mixture,PFBS_mixture,PFHxS_mixture,PFOS_mixture,PFBA_mixture,PFPA_mixture,PFHxA_mixture,PFHpA_mixture,PFOA_mixture,PFNA_mixture,PFDA_mixture,PFUnA_mixture,PFDoA_mixture,PFTrDA_mixture,PFTeDA_mixture,PFHxPA_mixture,PFOPA_mixture,PFDPA_mixture,C6/C6_PFPiA_mixture,C6/C8_PFPiA_mixture,C8/C8_PFPiA_mixture,C6/C10_PFPiA_mixture,C8/C10_PFPiA_mixture,C6/C12_PFPiA_mixture,log(BCF) (L/Kg)
Martin et al.(2003a), https://doi.org/10.1002/etc.5620220126,Perfluorotetradecanoic acid,PFTA,376-06-7,C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Oncorhynchus mykiss,both,whole body,0.014,12,33,TRUE,1.4,1.4,0.35,0,1.7,1.7,1.6,1.5,0,0.71,0.48,0.2,0,0.014,0,0,0,0,0,0,0,0,0,4.361727836
Martin et al.(2003a), https://doi.org/10.1002/etc.5620220126,Perfluorotetradecanoic acid,PFTA,376-06-7,C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Oncorhynchus mykiss,both,blood,0.014,12,33,TRUE,1.4,1.4,0.35,0,1.7,1.7,1.6,1.5,0,0.71,0.48,0.2,0,0.014,0,0,0,0,0,0,0,0,0,4.477121255
Martin et al.(2003a), https://doi.org/10.1002/etc.5620220126,Perfluorotetradecanoic acid,PFTA,376-06-7,C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Oncorhynchus mykiss,both,liver,0.014,12,33,TRUE,1.4,1.4,0.35,0,1.7,1.7,1.6,1.5,0,0.71,0.48,0.2,0,0.014,0,0,0,0,0,0,0,0,0,4.477121255
Martin et al.(2003a), https://doi.org/10.1002/etc.5620220126,Perfluorooctane sulfonic acid,PFOS,1763-23-1,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Oncorhynchus mykiss,both,whole body,0.35,12,33,TRUE,1.4,1.4,0.35,0,1.7,1.7,1.6,1.5,0,0.71,0.48,0.2,0,0.014,0,0,0,0,0,0,0,0,0,3.041392685
Martin et al.(2003a), https://doi.org/10.1002/etc.5620220126,Perfluorooctane sulfonic acid,PFOS,1763-23-1,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Oncorhynchus mykiss,both,blood,0.35,12,33,TRUE,1.4,1.4,0.35,0,1.7,1.7,1.6,1.5,0,0.71,0.48,0.2,0,0.014,0,0,0,0,0,0,0,0,0,3.633468456
Martin et al.(2003a), https://doi.org/10.1002/etc.5620220126,Perfluorooctane sulfonic acid,PFOS,1763-23-1,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Oncorhynchus mykiss,both,liver,0.35,12,33,TRUE,1.4,1.4,0.35,0,1.7,1.7,1.6,1.5,0,0.71,0.48,0.2,0,0.014,0,0,0,0,0,0,0,0,0,3.73239376
Martin et al.(2003a), https://doi.org/10.1002/etc.5620220126,Perfluorohexane sulfonic acid,PFHxS,355-46-4,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Oncorhynchus mykiss,both,whole body,1.4,12,33,TRUE,1.4,1.4,0.35,0,1.7,1.7,1.6,1.5,0,0.71,0.48,0.2,0,0.014,0,0,0,0,0,0,0,0,0,0.982271233
Martin et al.(2003a), https://doi.org/10.1002/etc.5620220126,Perfluorohexane sulfonic acid,PFHxS,355-46-4,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Oncorhynchus mykiss,both,blood,1.4,12,33,TRUE,1.4,1.4,0.35,0,1.7,1.7,1.6,1.5,0,0.71,0.48,0.2,0,0.014,0,0,0,0,0,0,0,0,0,1.880813592
Martin et al.(2003a), https://doi.org/10.1002/etc.5620220126,Perfluorohexane sulfonic acid,PFHxS,355-46-4,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Oncorhynchus mykiss,both,liver,1.4,12,33,TRUE,1.4,1.4,0.35,0,1.7,1.7,1.6,1.5,0,0.71,0.48,0.2,0,0.014,0,0,0,0,0,0,0,0,0,2
Wu et al. (2018),https://doi.org/10.1016/j.chemosphere.2018.10.025,6:2 chlorinated polyfluorinated ether sulfonate,F-53B,73606-19-6,C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,both,whole body,4.93,0.083333333,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.514105286
Wu et al. (2018),https://doi.org/10.1016/j.chemosphere.2018.10.025,6:2 chlorinated polyfluorinated ether sulfonate,F-53B,73606-19-6,C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,both,whole body,4.93,0.25,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.848820179
Wu et al. (2018),https://doi.org/10.1016/j.chemosphere.2018.10.025,6:2 chlorinated polyfluorinated ether sulfonate,F-53B,73606-19-6,C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,both,whole body,4.93,0.875,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.302436779
Wu et al. (2018),https://doi.org/10.1016/j.chemosphere.2018.10.025,6:2 chlorinated polyfluorinated ether sulfonate,F-53B,73606-19-6,C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,both,whole body,4.93,1.208333333,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.440787245
Wu et al. (2018),https://doi.org/10.1016/j.chemosphere.2018.10.025,6:2 chlorinated polyfluorinated ether sulfonate,F-53B,73606-19-6,C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,both,whole body,4.93,1.875,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.664008045
Wu et al. (2018),https://doi.org/10.1016/j.chemosphere.2018.10.025,6:2 chlorinated polyfluorinated ether sulfonate,F-53B,73606-19-6,C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,both,whole body,4.93,2,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69336081
Wu et al. (2018),https://doi.org/10.1016/j.chemosphere.2018.10.025,6:2 chlorinated polyfluorinated ether sulfonate,F-53B,73606-19-6,C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,both,whole body,51.92,0.083333333,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.350126434
Wu et al. (2018),https://doi.org/10.1016/j.chemosphere.2018.10.025,6:2 chlorinated polyfluorinated ether sulfonate,F-53B,73606-19-6,C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,both,whole body,51.92,0.25,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.754006878
Wu et al. (2018),https://doi.org/10.1016/j.chemosphere.2018.10.025,6:2 chlorinated polyfluorinated ether sulfonate,F-53B,73606-19-6,C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,both,whole body,51.92,0.875,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.238484896
Wu et al. (2018),https://doi.org/10.1016/j.chemosphere.2018.10.025,6:2 chlorinated polyfluorinated ether sulfonate,F-53B,73606-19-6,C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,both,whole body,51.92,1.208333333,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.426654824
Wu et al. (2018),https://doi.org/10.1016/j.chemosphere.2018.10.025,6:2 chlorinated polyfluorinated ether sulfonate,F-53B,73606-19-6,C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,both,whole body,51.92,1.875,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.619345832
Wu et al. (2018),https://doi.org/10.1016/j.chemosphere.2018.10.025,6:2 chlorinated polyfluorinated ether sulfonate,F-53B,73606-19-6,C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,both,whole body,51.92,2,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.656115292
Wu et al. (2019),https://doi.org/10.1016/j.ecoenv.2019.01.010,6:2 chlorinated polyfluorinated ether sulfonate,F-53B,73606-19-6,C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,female,liver,7.45,7,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8162413
Wu et al. (2019),https://doi.org/10.1016/j.ecoenv.2019.01.010,6:2 chlorinated polyfluorinated ether sulfonate,F-53B,73606-19-6,C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,female,gill,7.45,7,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62324929
Wu et al. (2019),https://doi.org/10.1016/j.ecoenv.2019.01.010,6:2 chlorinated polyfluorinated ether sulfonate,F-53B,73606-19-6,C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,female,gonad,7.45,7,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.851258349
Wu et al. (2019),https://doi.org/10.1016/j.ecoenv.2019.01.010,6:2 chlorinated polyfluorinated ether sulfonate,F-53B,73606-19-6,C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,female,brain,7.45,7,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.079181246
Wu et al. (2019),https://doi.org/10.1016/j.ecoenv.2019.01.010,6:2 chlorinated polyfluorinated ether sulfonate,F-53B,73606-19-6,C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,female,liver,74.435,7,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.831229694
Wu et al. (2019),https://doi.org/10.1016/j.ecoenv.2019.01.010,6:2 chlorinated polyfluorinated ether sulfonate,F-53B,73606-19-6,C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,female,gill,74.435,7,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.694605199
Wu et al. (2019),https://doi.org/10.1016/j.ecoenv.2019.01.010,6:2 chlorinated polyfluorinated ether sulfonate,F-53B,73606-19-6,C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,female,gonad,74.435,7,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88536122
Wu et al. (2019),https://doi.org/10.1016/j.ecoenv.2019.01.010,6:2 chlorinated polyfluorinated ether sulfonate,F-53B,73606-19-6,C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,female,brain,74.435,7,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.096910013
Wu et al. (2019),https://doi.org/10.1016/j.ecoenv.2019.01.010,6:2 chlorinated polyfluorinated ether sulfonate,F-53B,73606-19-6,C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,male,liver,7.45,7,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.161966616
Wu et al. (2019),https://doi.org/10.1016/j.ecoenv.2019.01.010,6:2 chlorinated polyfluorinated ether sulfonate,F-53B,73606-19-6,C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,male,gill,7.45,7,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.095518042
Wu et al. (2019),https://doi.org/10.1016/j.ecoenv.2019.01.010,6:2 chlorinated polyfluorinated ether sulfonate,F-53B,73606-19-6,C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,male,gonad,7.45,7,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.820201459
Wu et al. (2019),https://doi.org/10.1016/j.ecoenv.2019.01.010,6:2 chlorinated polyfluorinated ether sulfonate,F-53B,73606-19-6,C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,male,brain,7.45,7,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.530199698
Wu et al. (2019),https://doi.org/10.1016/j.ecoenv.2019.01.010,6:2 chlorinated polyfluorinated ether sulfonate,F-53B,73606-19-6,C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,male,liver,74.435,7,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.200576927
Wu et al. (2019),https://doi.org/10.1016/j.ecoenv.2019.01.010,6:2 chlorinated polyfluorinated ether sulfonate,F-53B,73606-19-6,C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,male,gill,74.435,7,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.135132651
Wu et al. (2019),https://doi.org/10.1016/j.ecoenv.2019.01.010,6:2 chlorinated polyfluorinated ether sulfonate,F-53B,73606-19-6,C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,male,gonad,74.435,7,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.862727528
Wu et al. (2019),https://doi.org/10.1016/j.ecoenv.2019.01.010,6:2 chlorinated polyfluorinated ether sulfonate,F-53B,73606-19-6,C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,male,brain,74.435,7,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.494154594
Zhong et al. (2019),https://doi.org/10.1016/j.scitotenv.2018.08.099,Perfluorobutane sulfonic acid,PFBS,375-73-5,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Cyprinus carpio,both,whole body,6,28,28,TRUE,6,8,10,0,0,0,0,8.28,9.28,10.28,11.28,12.28,0,0,0,0,0,0,0,0,0,0,0,0.953587882
Zhong et al. (2019),https://doi.org/10.1016/j.scitotenv.2018.08.100,Perfluorohexane sulfonic acid,PFHxS,355-46-4,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Cyprinus carpio,both,whole body,8,28,28,TRUE,6,8,10,0,0,0,0,8.28,9.28,10.28,11.28,12.28,0,0,0,0,0,0,0,0,0,0,0,1.73884487
Zhong et al. (2019),https://doi.org/10.1016/j.scitotenv.2018.08.101,Perfluorooctane sulfonic acid,PFOS,1763-23-1,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Cyprinus carpio,both,whole body,10,28,28,TRUE,6,8,10,0,0,0,0,8.28,9.28,10.28,11.28,12.28,0,0,0,0,0,0,0,0,0,0,0,2.736426033
Zhong et al. (2019),https://doi.org/10.1016/j.scitotenv.2018.08.102,Perfluorooctanoic acid,PFOA,335-67-1,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Cyprinus carpio,both,whole body,8.28,28,28,TRUE,6,8,10,0,0,0,0,8.28,9.28,10.28,11.28,12.28,0,0,0,0,0,0,0,0,0,0,0,2.641853457
Zhong et al. (2019),https://doi.org/10.1016/j.scitotenv.2018.08.103,Perfluorononanoic acid,PFNA,375-95-1,C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Cyprinus carpio,both,whole body,9.28,28,28,TRUE,6,8,10,0,0,0,0,8.28,9.28,10.28,11.28,12.28,0,0,0,0,0,0,0,0,0,0,0,2.854880572
Zhong et al. (2019),https://doi.org/10.1016/j.scitotenv.2018.08.104,Perfluorodecanoic acid,PFDA,335-76-2,C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Cyprinus carpio,both,whole body,10.28,28,28,TRUE,6,8,10,0,0,0,0,8.28,9.28,10.28,11.28,12.28,0,0,0,0,0,0,0,0,0,0,0,3.030417511
Zhong et al. (2019),https://doi.org/10.1016/j.scitotenv.2018.08.105,Perfluoroundecanoic acid,PFUnA,2058-94-8,C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Cyprinus carpio,both,whole body,11.28,28,28,TRUE,6,8,10,0,0,0,0,8.28,9.28,10.28,11.28,12.28,0,0,0,0,0,0,0,0,0,0,0,3.221130761
Zhong et al. (2019),https://doi.org/10.1016/j.scitotenv.2018.08.106,Perfluorododecanoic acid,PFDoA,307-55-1,C(=O)(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Cyprinus carpio,both,whole body,12.28,28,28,TRUE,6,8,10,0,0,0,0,8.28,9.28,10.28,11.28,12.28,0,0,0,0,0,0,0,0,0,0,0,3.275167084
